Ή	Δΰςΰ/βπεμÿ	Òεμοεπΰςσπΰ	Ξρΰδκθ (μμ)
1	2025-05-05T00:00	13,7°C	0,30 μμ
2	2025-05-05T01:00	13,4°C	0,10 μμ
3	2025-05-05T02:00	13,8°C	0,00 μμ
4	2025-05-05T03:00	13,9°C	0,00 μμ
5	2025-05-05T04:00	13,6°C	0,10 μμ
6	2025-05-05T05:00	13,8°C	0,00 μμ
7	2025-05-05T06:00	14,6°C	0,00 μμ
8	2025-05-05T07:00	15,6°C	0,00 μμ
9	2025-05-05T08:00	16,8°C	0,00 μμ
10	2025-05-05T09:00	18,3°C	0,00 μμ
11	2025-05-05T10:00	19,6°C	0,00 μμ
12	2025-05-05T11:00	20,3°C	0,00 μμ
13	2025-05-05T12:00	19,9°C	0,00 μμ
14	2025-05-05T13:00	19,4°C	0,00 μμ
15	2025-05-05T14:00	18,0°C	0,00 μμ
16	2025-05-05T15:00	17,2°C	0,00 μμ
17	2025-05-05T16:00	15,6°C	0,10 μμ
18	2025-05-05T17:00	13,7°C	0,20 μμ
19	2025-05-05T18:00	12,6°C	0,20 μμ
20	2025-05-05T19:00	11,9°C	0,00 μμ
21	2025-05-05T20:00	11,2°C	0,00 μμ
22	2025-05-05T21:00	10,6°C	0,00 μμ
23	2025-05-05T22:00	10,2°C	0,00 μμ
24	2025-05-05T23:00	10,1°C	0,00 μμ
